,combination,p_value,m_test_result,m_test_value
54,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0x92d6c1e31e14520e676a687f0a93788b716beff5')",0.9999999999999304,False,1.0
55,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0xba100000625a3754423978a60c9317c58a424e3d')",2.8686907294073194e-09,True,3.0121252658776854e-07
56,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2')",0.9999999999999992,False,1.0
57,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",5.314377826692862e-10,True,5.580096718027505e-08
58,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",0.9999988822632995,False,1.0
59,"('0xd533a949740bb3306d119cc777fa900ba034cd52', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",0.06929925501347933,False,1.0
60,"('0x111111111117dc0aa78b770fa6a738034120c302', '0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5')",1.0,False,1.0
61,"('0x111111111117dc0aa78b770fa6a738034120c302', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b')",1.0,False,1.0
62,"('0x111111111117dc0aa78b770fa6a738034120c302', '0xc00e94cb662c3520282e6f5717214004a7f26888')",1.0,False,1.0
63,"('0x111111111117dc0aa78b770fa6a738034120c302', '0x92d6c1e31e14520e676a687f0a93788b716beff5')",1.0,False,1.0
64,"('0x111111111117dc0aa78b770fa6a738034120c302', '0xba100000625a3754423978a60c9317c58a424e3d')",0.7831623370929041,False,1.0
65,"('0x111111111117dc0aa78b770fa6a738034120c302', '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2')",1.0,False,1.0
66,"('0x111111111117dc0aa78b770fa6a738034120c302', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",4.2270811950739784e-07,True,4.438435254827677e-05
67,"('0x111111111117dc0aa78b770fa6a738034120c302', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",1.0,False,1.0
68,"('0x111111111117dc0aa78b770fa6a738034120c302', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",0.2532686379576883,False,1.0
69,"('0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b')",0.9999999999989821,False,1.0
70,"('0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5', '0xc00e94cb662c3520282e6f5717214004a7f26888')",1.0,False,1.0
71,"('0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5', '0x92d6c1e31e14520e676a687f0a93788b716beff5')",1.0,False,1.0
72,"('0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5', '0xba100000625a3754423978a60c9317c58a424e3d')",1.0,False,1.0
73,"('0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5', '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2')",1.0,False,1.0
74,"('0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",1.0,False,1.0
75,"('0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",0.9999802496563418,False,1.0
76,"('0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",0.7077714759735927,False,1.0
77,"('0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b', '0xc00e94cb662c3520282e6f5717214004a7f26888')",1.0,False,1.0
78,"('0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b', '0x92d6c1e31e14520e676a687f0a93788b716beff5')",0.0,True,0.0
79,"('0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b', '0xba100000625a3754423978a60c9317c58a424e3d')",3.011149107834399e-10,True,3.161706563226119e-08
80,"('0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b', '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2')",0.0,True,0.0
81,"('0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",0.003931724174052742,False,0.4128310382755379
82,"('0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",2.700728529703156e-12,True,2.8357649561883136e-10
83,"('0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",0.0,True,0.0
84,"('0xc00e94cb662c3520282e6f5717214004a7f26888', '0x92d6c1e31e14520e676a687f0a93788b716beff5')",1.0,False,1.0
85,"('0xc00e94cb662c3520282e6f5717214004a7f26888', '0xba100000625a3754423978a60c9317c58a424e3d')",1.0,False,1.0
86,"('0xc00e94cb662c3520282e6f5717214004a7f26888', '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2')",1.0,False,1.0
87,"('0xc00e94cb662c3520282e6f5717214004a7f26888', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",1.0,False,1.0
88,"('0xc00e94cb662c3520282e6f5717214004a7f26888', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",1.0,False,1.0
89,"('0xc00e94cb662c3520282e6f5717214004a7f26888', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",0.9999999999942621,False,1.0
90,"('0x92d6c1e31e14520e676a687f0a93788b716beff5', '0xba100000625a3754423978a60c9317c58a424e3d')",0.5107085422750388,False,1.0
91,"('0x92d6c1e31e14520e676a687f0a93788b716beff5', '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2')",1.0,False,1.0
92,"('0x92d6c1e31e14520e676a687f0a93788b716beff5', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",0.9999999999999991,False,1.0
93,"('0x92d6c1e31e14520e676a687f0a93788b716beff5', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",0.0003119236488424715,False,0.032751983128459505
94,"('0x92d6c1e31e14520e676a687f0a93788b716beff5', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",0.22830931735140958,False,1.0
