,id,symbol,name,links.homepage,platforms.ethereum,genesis_date,market_cap,circulating_supply,total_supply,max_supply,last_updated,last_updated
40,wilder-world,wild,Wilder World,"['https://www.wilderworld.com/', '', '']",0x2a3bff78b79a009976eea096a51a948a3dc00e34,,21180266.0,94845467.17,500000000.0,500000000.0,2022-10-09T04:48:39.571Z,2022-10-09T04:48:39.571Z
41,airswap,ast,AirSwap,"['https://www.airswap.io/', '', '']",0x27054b13b1b798b345b591a4d22e6562d47ea75a,2017-10-10,20332457.0,172262389.6189,500000000.0,500000000.0,2022-10-09T04:48:32.455Z,2022-10-09T04:48:32.455Z
44,dxdao,dxd,DXdao,"['https://dxdao.eth.link/', '', '']",0xa1d65e8fb6e87b60feccbc582f7f97804b725521,,17398568.0,48630.26034234461,148976.876073927,148976.876073927,2022-10-09T04:48:37.155Z,2022-10-09T04:48:37.155Z
45,sifchain,erowan,Sifchain,"['https://sifchain.network/', '', '']",0x07bac35846e5ed502aa91adf6a9e7aa210f2dcbe,,16647003.0,2289460257.22804,2858172819.31956,2858172819.31956,2022-10-09T04:49:24.145Z,2022-10-09T04:49:24.145Z
46,tokemak,toke,Tokemak,"['https://www.tokemak.xyz/', '', '']",0x2e9d63788249371f1dfc918a52f8d799f4a38c94,,16389378.0,16978623.347511414,100000000.0,100000000.0,2022-10-09T04:49:13.898Z,2022-10-09T04:49:13.898Z
47,hopr,hopr,HOPR,"['https://hoprnet.org/', '', '']",0xf5581dfefd8fb0e4aec526be659cfab1f8c781da,,13820322.0,220026459.346819,275084743.283157,1000000000.0,2022-10-09T04:48:25.493Z,2022-10-09T04:48:25.493Z
48,cryptex-finance,ctx,Cryptex Finance,"['https://cryptex.finance/', '', '']",0x321c2fe4446c7c963dc41dd58879af648838f98d,,11816342.0,3475038.413891664,10000000.0,10000000.0,2022-10-09T04:49:22.391Z,2022-10-09T04:49:22.391Z
49,index-cooperative,index,Index Cooperative,"['https://indexcoop.com/index-token', '', '']",0x0954906da0bf32d5479e25f46056d22f08464cab,,11089849.0,4516141.291338313,10000000.0,10000000.0,2022-10-09T04:49:09.809Z,2022-10-09T04:49:09.809Z
50,cream-2,cream,Cream,"['https://cream.finance/', '', '']",0x2ba592f78db6436527729929aaf6c908497cb200,,11014513.0,766534.9535239147,9000000.0,2924547.0,2022-10-09T04:49:08.888Z,2022-10-09T04:49:08.888Z
51,xfund,xfund,xFund,"['https://www.unification.com/xfund', '', '']",0x892a6f9df0147e5f079b0993f486f9aca3c87881,,10811011.0,9970.875,8880.0,,2022-10-09T04:49:17.824Z,2022-10-09T04:49:17.824Z
52,dego-finance,dego,Dego Finance,"['https://dego.finance/', 'https://bsc.dego.finance/', '']",0x3da932456d082cba208feb0b096d49b202bf89c8,,9756440.0,5422186.636307328,11964131.1245588,11964131.1245588,2022-10-09T04:48:17.840Z,2022-10-09T04:48:17.840Z
53,concentrated-voting-power,cvp,PowerPool Concentrated Voting Power,"['https://powerpool.finance', '', '']",0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,,9538262.0,30630932.96780297,100000000.0,100000000.0,2022-10-09T04:48:38.262Z,2022-10-09T04:48:38.262Z
56,meta,mta,mStable Governance: Meta,"['http://mstable.org/', '', '']",0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,,5585367.0,49953228.94014872,100000000.0,100000000.0,2022-10-09T04:48:30.303Z,2022-10-09T04:48:30.303Z
57,enreachdao,nrch,EnreachDAO,"['https://enreach.io/', 'https://chainswitch.net/', 'https://enreach-crypto.com/']",0x69fa8e7f6bf1ca1fb0de61e1366f7412b827cc51,,5207066.0,2216986.386425791,9999804.445,,2022-10-09T04:46:15.929Z,2022-10-09T04:46:15.929Z
58,mahadao,maha,MahaDAO,"['https://mahadao.com', '', '']",0xb4d930279552397bba2ee473229f89ec245bc365,2020-12-17,4736628.0,3920894.8669446497,9997846.07721052,,2022-10-09T04:49:06.288Z,2022-10-09T04:49:06.288Z
59,dhedge-dao,dht,dHEDGE DAO,"['https://www.dhedge.org/', '', '']",0xca1207647ff814039530d7d35df0e1dd2e91fa84,,4447092.0,34211675.201482415,100000000.0,100000000.0,2022-10-09T04:48:13.844Z,2022-10-09T04:48:13.844Z
60,daohaus,haus,DAOhaus,"['https://daohaus.club/', '', '']",0xf2051511b9b121394fa75b8f7d4e7424337af687,,4360245.0,1000000.0,1000000.0,1000000.0,2022-10-09T04:48:32.697Z,2022-10-09T04:48:32.697Z
61,defi-yield-protocol,dyp,DeFi Yield Protocol,"['https://dyp.finance/#/home', '', '']",0x961c8c0b1aad0c0b10a51fef6a867e3091bcef17,,3874971.0,23631124.1175017,24963431.0,24963431.0,2022-10-09T04:49:20.581Z,2022-10-09T04:49:20.581Z
62,tower,tower,Tower,"['https://www.crazydefenseheroes.com/', '', '']",0x1c9922314ed1415c95b9fd453c3818fd41867d0b,,3469553.0,699566252.140371,10000000000.0,10000000000.0,2022-10-09T04:49:17.954Z,2022-10-09T04:49:17.954Z
63,ethereans,os,Ethereans,"['https://www.ethereanslabs.com/', '', '']",0x6100dd79fcaa88420750dcee3f735d168abcb771,,2929085.0,738595.875050943,1000000.0,,2022-10-09T04:48:22.511Z,2022-10-09T04:48:22.511Z
64,flux-token,flx,FluxProtocol,"['https://www.fluxprotocol.org/', 'https://fluxprotocol.medium.com/', 'https://stake.flux.xyz/#/flx']",0x3ea8ea4237344c9931214796d9417af1a1180770,,2860524.0,88130827.66324732,1000000000.0,1000000000.0,2022-10-09T04:47:26.157Z,2022-10-09T04:47:26.157Z
65,onooks,ooks,Onooks,"['https://www.onooks.org/', 'https://www.onooks.com ', 'https://www.youtube.com/onooks']",0x69d9905b2e5f6f5433212b7f3c954433f23c1572,,2624476.0,11221615.478748241,12000000.0,12000000.0,2022-10-09T04:43:10.072Z,2022-10-09T04:43:10.072Z
66,yam-2,yam,YAM,"['https://yam.finance/', '', '']",0x0aacfbec6a24756c20d41914f2caba817c0d8521,,2502430.0,14561669.626471901,14937054.421527,14937054.421527,2022-10-09T04:49:21.089Z,2022-10-09T04:49:21.089Z
67,shroom-finance,shroom,Niftyx Protocol,"['https://www.niftyx.org/', '', '']",0xed0439eacf4c4965ae4613d77a5c2efe10e5f183,,2467674.0,51386058.26854872,65557424.1071429,65557424.1071429,2022-10-09T04:49:16.860Z,2022-10-09T04:49:16.860Z
68,unit-protocol-duck,duck,Unit Protocol,"['https://unit.xyz/', '', '']",0x92e187a03b6cd19cb6af293ba17f2745fd2357d5,,2379771.0,304705437.4669606,1018892666.32779,639274949.0,2022-10-09T04:49:06.601Z,2022-10-09T04:49:06.601Z
69,hord,hord,Hord,"['https://www.hord.app/', '', '']",0x43a96962254855f16b925556f9e97be436a43448,,2348429.0,87978025.7608676,320000000.0,,2022-10-09T04:49:18.824Z,2022-10-09T04:49:18.824Z
