,address,label,entity_name,entity_type,source,predicted_label
84,0xCD531Ae9EFCCE479654c4926dec5F6209531Ca7b,,Coinbase Prime,cex,arkham,False
85,0xF5F3436A05B5CEd2490DAE07B86EB5BbD02782aA,,Bybit,cex,arkham,False
86,0x1579B5f6582C7a04f5fFEec683C13008C4b0A520,,Bitkub,cex,arkham,False
87,0x3F08f17973aB4124C73200135e2B675aB2D263D9,,eToro,cex,arkham,True
88,0x7758E507850dA48cd47df1fB5F875c23E3340c50,IEMOA,Crypto.com,cex,arkham,False
89,0x1157A2076b9bB22a85CC2C162f20fAB3898F4101,,FalconX,cex,arkham,False
90,0x2eE555C9006A9DC4674f01E0d4Dfc58e013708f0,,BtcTurk,cex,arkham,False
91,0x33Ddd548FE3a082d753E5fE721a26E1Ab43e3598,,CoinEx,cex,arkham,False
92,0x59E0cDA5922eFbA00a57794faF09BF6252d64126,,Bitkub,cex,arkham,False
93,0x5D7F34372FA8708E09689D400A613EeE67F75543,,Binance,cex,etherscan,False
94,0x6EDF968DA408a9640b8865826429a977a11C5048,,Zonda (BitBay),cex,arkham,False
95,0x738cF6903E6c4e699D1C2dd9AB8b67fcDb3121eA,IEMOA,KuCoin,cex,arkham,False
96,0xb8D2B921c0eA0cA27266FA63907A079EF25084D0,EMOA,Bitso,cex,arkham,False
97,0xD1669Ac6044269b59Fa12c5822439F609Ca54F41,IEMOA,CoinList,cex,arkham,True
98,0xf16E9B0D03470827A95CDfd0Cb8a8A3b46969B91,,KuCoin,cex,arkham,False
99,0xfD9785b1148C6550e065A189d702560C67950D54,,Korbit,cex,arkham,False
100,0x294B9B133cA7Bc8ED2CdD03bA661a4C6d3a834D9,,CoinDCX,cex,arkham,True
101,0x3D5202A0564De9B05eCd07C955BcCA964585ea03,,Bybit,cex,arkham,False
102,0x4230C402c08cB66DCf3820649A115e54661FCe9D,,Bybit,cex,arkham,False
103,0xBaeD383EDE0e5d9d72430661f3285DAa77E9439F,,Bybit,cex,arkham,False
104,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,Bybit,cex,arkham,False
105,0x260Ee8F2B0C167e0cd6119b2DF923FD061dc1093,,YouHodler,cex,arkham,False
106,0x29D5527CaA78f1946a409FA6aCaf14A0a4A0274b,,Bitso,cex,arkham,False
107,0x3CC936b795A188F0e246cBB2D74C5Bd190aeCF18,,MEXC,cex,arkham,False
108,0x404460039499c774c48248552F802CE5dd482e32,,Netcoins,cex,arkham,False
109,0x8F509A90c2e47779cA408Fe00d7A72e359229AdA,,eToro,cex,arkham,True
110,0xA01AA2196724a39290f465b3925E5dCaFe7F2256,,Bitso,cex,arkham,False
111,0xA12431D0B9dB640034b0CDFcEEF9CCe161e62be4,IEMOA,HitBTC,cex,arkham,False
112,0xCFFAd3200574698b78f32232aa9D63eABD290703,IEMOA,Crypto.com,cex,arkham,False
113,0xDc1487E092CaBA080C6BADafAa75a58Ce7a2EC34,,eToro,cex,arkham,True
114,0x4a87135693A5b7dd0653C151c16EDFA3c524403F,,Zipmex,cex,arkham,False
115,0x5a52E96BAcdaBb82fd05763E25335261B270Efcb,,Binance,cex,arkham,False
116,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,,Copper,custodian,arkham,False
117,0xB8001C3eC9AA1985f6c747E25c28324E4A361ec1,,Cobo.com,custodian,arkham,False
118,0x0e5C1813587088378787E7DD6C9cb4Cb01a0Ea18,,Balancer,dex,arkham,False
119,0x49ff149D649769033d43783E7456F626862CD160,,Balancer,dex,arkham,False
120,0xc1C70266eF3dC680E55c5a1c451f664446A9849D,,Balancer,dex,arkham,False
121,0xEeb82Fa092e3CEcB1ba99F8342775B70Efb40cF8,,Balancer,dex,arkham,False
122,0x8cA24021E3Ee3B5c241BBfcee0712554D7Dc38a1,EMOA,Synthetix,dex,arkham,False
123,0xF5BCE5077908a1b7370B9ae04AdC565EBd643966,,SushiSwap,dex,arkham,False
124,0xBA12222222228d8Ba445958a75a0704d566BF2C8,lp_amm,Balancer,dex,arkham,False
125,0x9af9c7016E9a759B1A1c9D31FfCE04b31a5456bF,,Balancer,dex,arkham,False
126,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7,PCV,SushiSwap,dex,arkham,False
127,0xE68c1d72340aEeFe5Be76eDa63AE2f4bc7514110,,DeFiPlaza,dex,arkham,False
128,0x00000063f648C943346d2a239F0969bAd32Ff184,,Wintermute,fund,arkham,True
129,0x0548F59fEE79f8832C299e01dCA5c76F034F558e,,Genesis Trading,fund,arkham,False
130,0x0F4ee9631f4be0a63756515141281A3E2B293Bbe,,Alameda Research,fund,arkham,False
131,0x33566c9D8BE6Cf0B23795E0d380E112Be9d75836,,Galaxy Digital,fund,arkham,False
132,0x3744DA57184575064838BBc87A0FC791F5E39eA2,,Blockchain Capital,fund,arkham,False
133,0x527788Ae179be743614496680d38B39D87Ee1ce8,,QCP Capital,fund,arkham,False
134,0x56178a0d5F301bAf6CF3e1Cd53d9863437345Bf9,,Symbolic Capital Partners,fund,arkham,False
135,0x5E94Cd917A93b86549fEdebC4b70BD14c1bda68E,,ParaFi Capital,fund,arkham,True
136,0x6C85006eAe121CF2444f0852CAB9914607915DF2,,Genesis Trading,fund,arkham,False
137,0xAeA97b739dcd6f5b586586CB7a538d60bA96a757,IEMOA,Arrington XRP Capital,fund,arkham,False
138,0xB3f923eaBAF178fC1BD8E13902FC5C61D3DdEF5B,,Wintermute,fund,arkham,False
139,0xd628f7c481c7Dd87F674870BEc5D7A311Fb1D9A2,,Genesis Trading,fund,arkham,False
140,0xD8fF522485C6CFe2Cd7c0b7a4197762C4a581FBE,,Maven 11,fund,arkham,True
141,0x0000006daea1723962647b7e189d311d757Fb793,IEMOA,Wintermute,fund,arkham,False
142,0x58f5F0684C381fCFC203D77B2BbA468eBb29B098,,BlockTower Capital,fund,arkham,False
143,0x69c63cf7A2dCb5648082621444ae1F08Ff35fb9F,,Longling Capital,fund,arkham,True
144,0x32d4703e5834F1b474B17DFdB0aC32Cc22575145,,Wintermute,fund,arkham,False
145,0x404De972e8138C4982ace8Bdd7fc0E755DE33AFd,,Bitwise,fund,arkham,False
146,0x4ADF44961a7CBe8EE46B2bf04E7198e879677825,,Galaxy Digital,fund,arkham,False
147,0x94E509b0F855297C0b99ab61bff027E0aD114121,,Alameda Research,fund,arkham,False
148,0xD0C861D10704dB3966ACd7961295915a92e9C8E5,,Sky9 Capital,fund,arkham,True
149,0x2C44e0827B6b50F369A7b51970D82cEaD0754B45,,DeFiance Capital,fund,arkham,False
150,0x4c8CFE078a5B989CeA4B330197246ceD82764c63,,Alameda Research,fund,arkham,False
151,0x5b990C664aE7E759763ACfEC76E11c289c53Be77,,Amber Group,fund,arkham,False
152,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,DeFiance Capital,fund,arkham,False
153,0xD0791bB1E59eD26d49f7dF67Ca62122149B27Cbd,,Amber Group,fund,arkham,True
154,0xf584F8728B874a6a5c7A8d4d387C9aae9172D621,,Jump Crypto,fund,arkham,False
155,0xFa453aec042a837e4AEBbADAB9d4E25B15FAd69D,IEMOA,Alameda Research,fund,arkham,False
156,0x574F6fc6ed5b050dDC3965839FE4C774A9a33D28,,Polychain Capital,fund,arkham,False
157,0x80845058350B8c3Df5c3015d8a717D64B3bF9267,,DTC Capital,fund,arkham,True
158,0xD9B012a168Fb6C1B71c24db8CEe1A256b3CAA2A2,,ParaFi Capital,fund,arkham,False
159,0xE11970f2F3dE9d637Fb786f2d869F8FeA44195AC,,Amber Group,fund,arkham,False
160,0x03aE1A796DFE0400439211133D065BDA774B9D3e,,Wintermute,fund,arkham,False
161,0x3A61da6D37493E2f248A6832F49b52Af0a6f4Fbb,IEMOA,Cumberland DRW,fund,arkham,False
162,0x967159C42568A54D11a4761fC86a6089eD42B7ba,,Blockchain Capital,fund,arkham,False
163,0x270f4bff1CFC284191d349255099553a13167Ce0,,Maven 11,fund,arkham,False
164,0x94B27b52E0A188c3d5C4BE7E39D04094Cbf1a5BF,,Amber Group,fund,arkham,False
165,0x1d22397EdfC4edf622d692050635bfc1FEBf1404,,Jump Crypto,fund,arkham,False
166,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,Nima Capital,fund,arkham,False
167,0xB78e90E2eC737a2C0A24d68a0e54B410FFF3bD6B,IEMOA,Alameda Research,fund,arkham,False
168,0x3229149012a035eF51D724e0343Eb31Ce3e4Bb7D,,Symbolic Capital Partners,fund,arkham,False
169,0x345D8e3A1F62eE6B1D483890976fD66168e390F2,,Auros Global,fund,arkham,False
170,0x4B502A08bc54C05772B2c63469E366C2E78459ed,,decentro.vc,fund,arkham,False
171,0xE73f074e4dfB3f58E92918149E4BEBd04975e6fC,,DeFiance Capital,fund,arkham,True
172,0x31c039383d787457b75D185D820D4A37aB80DAD2,,Maven 11,fund,arkham,False
173,0x6455327F820eDD69c4Cd665b995E0fEC679d7F9E,,Wintermute,fund,arkham,False
174,0x6d21266DfcF5541BEE9F67c4837AAa72b3BF9303,,Genesis Trading,fund,arkham,False
175,0x4B581dedA2f2C0650C3dFC506C86a8C140d9f699,,Sigil Fund,fund,arkham,False
176,0x53c286E0AbE87c9e6d4d95ebE62ceaFa4aFCE849,,Polychain Capital,fund,arkham,False
177,0x00514112B64626360445D45dae83327c989FacE2,,Fenbushi Capital,fund,arkham,False
178,0x342689708EB93e684404Fb60123795C42259F753,,Amber Group,fund,arkham,True
179,0x84D34f4f83a87596Cd3FB6887cFf8F17Bf5A7B83,,Alameda Research,fund,arkham,False
180,0xad6eaa735D9dF3D7696fd03984379dAE02eD8862,,Cumberland DRW,fund,arkham,False
181,0xDBF5E9c5206d0dB70a90108bf936DA60221dC080,,Wintermute,fund,arkham,False
182,0x15abb66bA754F05cBC0165A64A11cDed1543dE48,,Galaxy Digital,fund,arkham,False
183,0x945BCF562085De2D5875b9E2012ed5Fd5cfaB927,,Tokka Labs,fund,arkham,False
184,0x9898ac41727242c0EA5192749b281149B6D16899,,Cumberland DRW,fund,arkham,True
185,0xcc261Ab4bE137EACf57C19ed97c186b4d88004Ca,,Jump Crypto,fund,arkham,False
186,0xE2e4F2A725E42D0F0EF6291F46c430F963482001,,Sigil Fund,fund,arkham,False
187,0xFaCf46Ea1E0aD2681103E726F64CFC503E9dA5D6,,Maven 11,fund,arkham,False
188,0x4f3a120E72C76c22ae802D129F599BFDbc31cb81,IEMOA,Wintermute,fund,arkham,False
189,0x8BEe7340304a051B16ceCee05fB8c999Db3b65eD,,Auros Global,fund,arkham,True
190,0x1149E9143C407F3Be1df24C463E48963c6dE1715,,Symbolic Capital Partners,fund,arkham,False
191,0x6C5e1DF7351356D60B7bA512817B9958949131ac,,Wintermute,fund,arkham,False
192,0x28a55C4b4f9615FDE3CDAdDf6cc01FcF2E38A6b0,,7 Siblings,fund,arkham,False
193,0x68fd0a0518b3120d844c5fB8a6f6dEFA4CaD42c5,,Spartan Group,fund,arkham,False
194,0xACA096d2E6492D7380c5d8E70D90E13EEcC72dd4,,DV Chain,fund,arkham,False
195,0xACC6Ab2C0699Ea05bCb780dEa74D5E17B289F854,,Pantera Capital,fund,arkham,True
196,0x00000000AE347930bD1E7B0F35588b92280f9e75,,Wintermute,fund,arkham,False
197,0x3507e4978e0Eb83315D20dF86CA0b976c0E40CcB,,Alameda Research,fund,arkham,False
198,0xcA436e14855323927d6e6264470DeD36455fC8bD,,Alameda Research,fund,arkham,True
199,0xfa6de2697D59E88Ed7Fc4dFE5A33daC43565ea41,other_contracts,Indexed Finance,fund-decentralized,arkham,False
200,0x17aC188e09A7890a1844E5E65471fE8b0CcFadF3,,Indexed Finance,fund-decentralized,arkham,False
201,0x126c121f99e1E211dF2e5f8De2d96Fa36647c855,,Indexed Finance,fund-decentralized,arkham,False
202,0xBA5Ed1488bE60BA2FACC6B66C6D6F0beFba22eBe,,Indexed Finance Exploiter,hacker,arkham,False
203,0x84E66f86C28502C0fC8613e1D9CbBEd806F7Adb4,,Indexed Finance Exploiter,hacker,arkham,False
204,0x09D4083fFD20D21ACb9118465aD7C52Ac8B548f7,,@Cygninae,individual,arkham,False
205,0xdB2B36C24064a0115fa0474fDE4D9BA1F1099122,,@moryupic,individual,arkham,True
206,0x3DbA737ccC50a32a1764b493285dd51C8Af6c278,,Konstantin Lomashuk,individual,arkham,True
207,0x1672b17b0F67a17488C300253fa6b68C86f1B367,,Tony Sun (Range Protocol),individual,arkham,True
208,0x4568b24aF273FCd5B0F1730D97C7dC359e0244F8,,@defi_brian,individual,arkham,True
209,0x5A27DBBfF05F36DC927137855E3381f0c20C1CDd,,@venky1154,individual,arkham,True
