Category,Address,Name,Tag,Source
Project,0x17a79792Fe6fE5C95dFE95Fe3fCEE3CAf4fE4Cb7,Aave,aAmmUSDT,https://aave.github.io/aave-addresses/mainnet.json
Project,0x13B2f6928D7204328b0E8E4BCd0379aA06EA21FA,Aave,aAmmWBTC,https://aave.github.io/aave-addresses/mainnet.json
Project,0x9303EabC860a743aABcc3A1629014CaBcc3F8D36,Aave,aAmmUniDAIWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0xc58F53A8adff2fB4eb16ED56635772075E2EE123,Aave,aAmmUniWBTCWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0xe59d2FF6995a926A574390824a657eEd36801E55,Aave,aAmmUniAAVEWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0xA1B0edF4460CC4d8bFAA18Ed871bFF15E5b57Eb4,Aave,aAmmUniBATWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0xE340B25fE32B1011616bb8EC495A4d503e322177,Aave,aAmmUniDAIUSDC,https://aave.github.io/aave-addresses/mainnet.json
Project,0x0ea20e7fFB006d4Cfe84df2F72d8c7bD89247DB0,Aave,aAmmUniCRVWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0xb8db81B84d30E2387de0FF330420A4AAA6688134,Aave,aAmmUniLINKWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x370adc71f67f581158Dc56f539dF5F399128Ddf9,Aave,aAmmUniMKRWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0xA9e201A4e269d6cd5E9F0FcbcB78520cf815878B,Aave,aAmmUniRENWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x38E491A71291CD43E8DE63b7253E482622184894,Aave,aAmmUniSNXWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x3D26dcd840fCC8e4B2193AcE8A092e4a65832F9f,Aave,aAmmUniUNIWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x391E86e2C002C70dEe155eAceB88F7A3c38f5976,Aave,aAmmUniUSDCWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x2365a4890eD8965E564B7E2D27C38Ba67Fec4C6F,Aave,aAmmUniWBTCUSDC,https://aave.github.io/aave-addresses/mainnet.json
Project,0x5394794Be8b6eD5572FCd6b27103F46b5F390E8f,Aave,aAmmUniYFIWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x358bD0d980E031E23ebA9AA793926857703783BD,Aave,aAmmBptWBTCWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0xd109b2A304587569c84308c55465cd9fF0317bFB,Aave,aAmmBptBALWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x118Ee405c6be8f9BA7cC7a98064EB5DA462235CF,Aave,stableDebtTokenAddress WETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x8da51a5a3129343468a63A96ccae1ff1352a3dfE,Aave,stableDebtTokenAddress DAI,https://aave.github.io/aave-addresses/mainnet.json
Project,0xE5971a8a741892F3b3ac3E9c94d02588190cE220,Aave,stableDebtTokenAddress USDC,https://aave.github.io/aave-addresses/mainnet.json
Project,0x04A0577a89E1b9E8f6c87ee26cCe6a168fFfC5b5,Aave,stableDebtTokenAddress USDT,https://aave.github.io/aave-addresses/mainnet.json
Project,0x55E575d092c934503D7635A837584E2900e01d2b,Aave,stableDebtTokenAddress WBTC,https://aave.github.io/aave-addresses/mainnet.json
Project,0xE9562bf0A11315A1e39f9182F446eA58002f010E,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xeef7d082D9bE2F5eC73C072228706286dea1f492,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x997b26eFf106f138e71160022CaAb0AFC5814643,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x27c67541a4ea26a436e311b2E6fFeC82083a6983,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x6Bb2BdD21920FcB2Ad855AB5d523222F31709d1f,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xd6035f8803eE9f173b1D3EBc3BDE0Ea6B5165636,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xeb32b3A1De9a1915D2b452B673C53883b9Fa6a97,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x6E7E38bB73E19b62AB5567940Caaa514e9d85982,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x312edeADf68E69A0f53518bF27EAcD1AbcC2897e,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xef62A0C391D89381ddf8A8C90Ba772081107D287,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x6febCE732191Dc915D6fB7Dc5FE3AEFDDb85Bd1B,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xfAB4C9775A4316Ec67a8223ecD0F70F87fF532Fc,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xc66bfA05cCe646f05F71DeE333e3229cE24Bbb7e,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x9B054B76d6DE1c4892ba025456A9c4F9be5B1766,Aave,stableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x46406eCd20FDE1DF4d80F15F07c434fa95CB6b33,Aave,stableDebtTokenAddress BPT,https://aave.github.io/aave-addresses/mainnet.json
Project,0x6474d116476b8eDa1B21472a599Ff76A829AbCbb,Aave,stableDebtTokenAddress BPT,https://aave.github.io/aave-addresses/mainnet.json
Project,0xA4C273d9A0C1fe2674F0E845160d6232768a3064,Aave,variableDebtTokenAddress WETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x3F4fA4937E72991367DC32687BC3278f095E7EAa,Aave,variableDebtTokenAddress DAI,https://aave.github.io/aave-addresses/mainnet.json
Project,0xCFDC74b97b69319683fec2A4Ef95c4Ab739F1B12,Aave,variableDebtTokenAddress USDC,https://aave.github.io/aave-addresses/mainnet.json
Project,0xDcFE9BfC246b02Da384de757464a35eFCa402797,Aave,variableDebtTokenAddress USDT,https://aave.github.io/aave-addresses/mainnet.json
Project,0x3b99fdaFdfE70d65101a4ba8cDC35dAFbD26375f,Aave,variableDebtTokenAddress WBTC,https://aave.github.io/aave-addresses/mainnet.json
Project,0x23bcc861b989762275165d08B127911F09c71628,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x02aAeB4C7736177242Ee0f71f6f6A0F057Aba87d,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x859ED7D9E92d1fe42fF95C3BC3a62F7cB59C373E,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x3Fbef89A21Dc836275bC912849627b33c61b09b4,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x925E3FDd927E20e33C3177C4ff6fb72aD1133C87,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xF3f1a76cA6356a908CdCdE6b2AC2eaace3739Cd0,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xeDe4052ed8e1F422F4E5062c679f6B18693fEcdc,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xf36C394775285F89bBBDF09533421E3e81e8447c,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x2A8d5B1c1de15bfcd5EC41368C0295c60D8Da83c,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xfd15008efA339A2390B48d2E0Ca8Abd523b406d3,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x0D878FbB01fbEEa7ddEFb896d56f1D3167af919F,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x26625d1dDf520fC8D975cc68eC6E0391D9d3Df61,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0x36dA0C5dC23397CBf9D13BbD74E93C04f99633Af,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xDf70Bdf01a3eBcd0D918FF97390852A914a92Df7,Aave,variableDebtTokenAddress UNI-V2,https://aave.github.io/aave-addresses/mainnet.json
Project,0xF655DF3832859cfB0AcfD88eDff3452b9Aa6Db24,Aave,variableDebtTokenAddress BPT,https://aave.github.io/aave-addresses/mainnet.json
Project,0xF41A5Cc7a61519B08056176d7B4b87AB34dF55AD,Aave,variableDebtTokenAddress BPT,https://aave.github.io/aave-addresses/mainnet.json
Project,0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811,Aave,aUSDT,https://aave.github.io/aave-addresses/mainnet.json
Project,0x9ff58f4fFB29fA2266Ab25e75e2A8b3503311656,Aave,aWBTC,https://aave.github.io/aave-addresses/mainnet.json
Project,0x030bA81f1c18d280636F32af80b9AAd02Cf0854e,Aave,aWETH,https://aave.github.io/aave-addresses/mainnet.json
Project,0x5165d24277cD063F5ac44Efd447B27025e888f37,Aave,aYFI,https://aave.github.io/aave-addresses/mainnet.json
Project,0xDf7FF54aAcAcbFf42dfe29DD6144A69b629f8C9e,Aave,aZRX,https://aave.github.io/aave-addresses/mainnet.json
Project,0xB9D7CB55f463405CDfBe4E90a6D2Df01C2B92BF1,Aave,aUNI,https://aave.github.io/aave-addresses/mainnet.json
